ID2;URL;Image;Title;Description;Price;Currency;Generation;Год соответствия начала выпуска поколения;Год соответствия окончания выпуска поколения;DIA диска;Направление;Сторона;Discount;Артикул;Стоимость, RUB;Положение по высоте;Марка;Марка соответствия;Модель;Подмодель;Только модель;Модель синоним;Модель соответствия;Подмодель соответствия;Только модель соответствия;Модификация;Кузов;Артикул;Констр. номер;Название запчасти;Коробка передач;Маркировка двигателя;Тип двигателя;Объем двигателя;Особенности двигателя;Цвет кузова;Год;Стоимость, USD (в разобранном виде);Стоимость, USD (в сборе);Стоимость, RUB (в разобранном виде);Стоимость, RUB (в сборе);Стоимость, BYN (в разобранном виде);Стоимость, BYN (в сборе);Примечание;Состояние;Url;Фотографии;Фотографии авто;Остаток протектора
;http://site.motorland.by/auto-parts/alfa-romeo/145/1-balance/sku-5572240/;;Alfa Romeo 145, 1980, 1 balance АКПП (авт.) 1.6;  5572240, , 1980 1.6 Бензин 1 balance;0;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5572240;0;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5572240;;1 balance;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;0.00;;0;;0;  5572240, , 1980 1.6 Бензин 1 balance;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/1-balance/sku-5572240/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/1-balance/sku-5572238/;;Alfa Romeo 145, 1980, 1 balance АКПП (авт.) 1.6;  5572238, , 1980 1.6 Бензин 1 balance;0;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5572238;0;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5572238;;1 balance;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;0.00;;0;;0;  5572238, , 1980 1.6 Бензин 1 balance;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/1-balance/sku-5572238/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/2-balance-komplekt-2/sku-5571900/;;Alfa Romeo 145, 1980, 2 balance комплект 2 АКПП (авт.) 1.6;  5571900, , 1980 1.6 Бензин 2 balance комплект 2;39107;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571900;39107;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571900;;2 balance комплект 2;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;407.00;;39107;;707;  5571900, , 1980 1.6 Бензин 2 balance комплект 2;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/2-balance-komplekt-2/sku-5571900/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/2-balance-komplekt-2/sku-5571899/;;Alfa Romeo 145, 1980, 2 balance комплект 2 АКПП (авт.) 1.6;  5571899, , 1980 1.6 Бензин 2 balance комплект 2;39107;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571899;39107;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571899;;2 balance комплект 2;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;407.00;;39107;;707;  5571899, , 1980 1.6 Бензин 2 balance комплект 2;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/2-balance-komplekt-2/sku-5571899/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571649/;;Alfa Romeo 145, 1980, Абсорбер АКПП (авт.) 1.6;  5571649, , 1980 1.6 Бензин Абсорбер;19607;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571649;19607;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571649;;Абсорбер;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;257.00;;19607;;407;  5571649, , 1980 1.6 Бензин Абсорбер;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571649/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571648/;;Alfa Romeo 145, 1980, Абсорбер АКПП (авт.) 1.6;  5571648, , 1980 1.6 Бензин Абсорбер;19607;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571648;19607;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571648;;Абсорбер;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;257.00;;19607;;407;  5571648, , 1980 1.6 Бензин Абсорбер;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571648/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571644/;;Alfa Romeo 145, 1980, Абсорбер АКПП (авт.) 1.6;  5571644, , 1980 1.6 Бензин Абсорбер;19607;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571644;19607;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571644;;Абсорбер;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;257.00;;19607;;407;  5571644, , 1980 1.6 Бензин Абсорбер;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571644/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571642/;;Alfa Romeo 145, 1980, Абсорбер АКПП (авт.) 1.6;  5571642, , 1980 1.6 Бензин Абсорбер;19607;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571642;19607;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571642;;Абсорбер;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;257.00;;19607;;407;  5571642, , 1980 1.6 Бензин Абсорбер;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571642/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571641/;;Alfa Romeo 145, 1980, Абсорбер АКПП (авт.) 1.6;  5571641, , 1980 1.6 Бензин Абсорбер;19607;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571641;19607;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571641;;Абсорбер;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;257.00;;19607;;407;  5571641, , 1980 1.6 Бензин Абсорбер;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571641/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571416/;;Alfa Romeo 145, 1980, Абсорбер АКПП (авт.) 1.6;  5571416, , 1980 1.6 Бензин Абсорбер;58607;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571416;58607;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571416;;Абсорбер;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;557.00;;58607;;1007;  5571416, , 1980 1.6 Бензин Абсорбер;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571416/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571415/;;Alfa Romeo 145, 1980, Абсорбер АКПП (авт.) 1.6;  5571415, , 1980 1.6 Бензин Абсорбер;3107;RUB;поколение-1 альфы 145 (1979-2024);;;;;;0;5571415;3107;;Alfa Romeo;Alfa Romeo;145;145;;Alfa Romeo 145 | Альфа Ромео 145;145;145;;;Седан;5571415;;Абсорбер;АКПП (авт.);AR 32102;Бензин;1.6 л;Инжектор;;1980;;129.50;;3107;;152;  5571415, , 1980 1.6 Бензин Абсорбер;#неизвестное св-во#;http://site.motorland.by/auto-parts/alfa-romeo/145/absorber/sku-5571415/;;http://media.site.motorland.by/car/607457/1.jpg,http://media.site.motorland.by/car/607457/2.jpg,http://media.site.motorland.by/car/607457/3.jpg;
